"id","text","rating","afinn","lsd","vader"
1,"for your entertain.",-1,0,1,0.318
2,"@ salmasekela: i kasich aware that he make sense?",-1,0,1,0
3,"@ thatsmylobster: @ wiseguysutah hey, i donald trump come to wiseguy anytime soon? i'd like advance ticket. # gopdebate",-1,0.5,1,0.361
4,"nobamanoway: https: / / t. co / m2zi6acgno annebayefsky:. govmikehuckabee:",-1,0,0,0
5,"how dare @ megynkelly ask @ realdonaldtrump hi history of bee a male chauvinist! do we expect our president to have integrity?!",-1,0.5,1,0.491
6,"@ pulmyears: official photo from the big # foxnews # gopdebate last night: http: / / t. co / uaib1m8ekc # teaparty @ socalimilitia1 @ donkeyarguing",-1,0.25,-1,0
7,"what ever happen to the answer to how they were gonna take care of vet?",-1,0.5,1,0.494
8,"@ lindasuhler: jeb stand by "" act of love ""; comment and earn legal status [ boo ] # noamnestyhttp: / / t. co / himscrvikr # gopdebates",-1,0.5,0,0.691
9,"are go to go through every candidate relatives' resume???",-1,0,0,0
10,"@ johnkasich: hey @ realdonaldtrump, if you're still look to chip in, check out http: / / t. co / dy8knz122t # gopdebate",-1,0,1,0
11,"wfie 14 new are u go to repo new affect'n our nation? https: / / t. co / bdxb2vkyqw via @ youtube @ realalexjones",-1,0,0,0
12,"let change the racist usage of the word articulate to scribe publican who are well spoken.",-1,-0.75,0,-0.44
13,"@ rebleber: not mention in the # gopdebate: vote rightsclimate changegun violencepolice shootingsstudent debtinequality",-1,0,-1,0
14,"# gopdebate winner yesterday: carly, ben carson, marco rubio, and, sad, big gov't mike huckabee. can carly knock christie off the stage?",-1,0.25,-0.333,0.178
15,"@ tpequality: gay right opponent rick santorum say during",-1,0,0,0
16,"the close caption for the",-1,0,0,0
17,"@ monaeltahawy: can someone send this to",-1,0,0,0
18,"publican still talk about abortion like it the 1960s.",-1,0.5,1,0.361
19,"@ bradonmessage: while you were watch the # gopdebate, the candidate @ algore endorse for nashville mayor lost. bad.",-1,-0.333,-1,-0.542
20,"@ carlyfiorina go carly! matthews i an asshat!! nice job!",-1,0.75,1,0.608
21,"s. perry call for "" aviation asset "" ( mean spy drone ) that "" identify what individual are do "" 24 / 7 # gopdebates http: / / t. co / ipbsiczyin",-1,0.5,1,0.361
22,"and what a big mistake it was for wallace to question @ realdonaldtrump's busy tactic. never question trump on busy",-1,-0.125,-1,-0.34
