"id","text","rating","afinn","lsd","vader"
1,"nyt: winners   ",-1,0,1,0.477
2," @goldietaylor: huckabee. ",-1,0,0,0
3," @gretchencarlson: ""take  bottle  white     pres obamas policies"" @governorperry # @foxnews @foxnewspolitics",-1,0,0,0
4,"  wait  hillary clinton  put  ",-1,0,-1,0
5,"  pledge   run third party,   pledge  vote third party    nominee. :///3tep5zszun #",-1,0,1,0.66
6,"god blessed  country,  republican candidates....   democrats. -rubio #paraphrase # ... :///pgijypjzdf",-1,0.2,1,0.718
7," @laurenreeves: ""stay tuned  closing statements, final thoughts,  god.""    turned   tv,  good. #",-1,0.4,1,0.612
8,"    accurate description   system? https:///e68hblfc2g.  # illustrated    wonderful, scary fashion",-1,0.2,0.333,0.128
9,"  ""   epa!"" #",-1,0,0,0
10,"kept wondering   donald left  pinky ring  gold chains ,    used car salesman gesturing/talk. #",-1,0,1,0
11,"cruz: "" receive  word  god everyday..."" god: "" blame    guy.   pills   voices.""#",-1,0,-1,0.202
12," @jarodzsz:  really disappointed   one threw  prosthetic leg last night   ",-1,-0.4,-1,-0.526
13,"    one perved   scott walker's wink   beginning   ",-1,0,0,0
14,"restorereality: fuck ya donald   rocked ",-1,-0.8,0,-0.542
15," @thebaxterbean:    taking  long  ted cruz  renounce  canadian citizenship? :///6d6xvafpf1 ",-1,0,-1,0
16,"@postgraphics @facttank rate  speech can indicate confidence. fast,  swindler; slow,unprepared # :///fs7r705es9",-1,0.4,0,0.511
17," @msgoddessrises:  doubt! huge bump! ",-1,0,-1,-0.198
18,"god loves  even       says! oops..  forgives   ! ",-1,0.2,1,0.844
19," answer    important question   #  yes, joe flacco ,  fact,  elite quarterback. #ravensnation",-1,0.3,0,0.542
20," @shawndrurysc: jeb:  father ...oh nevermind. parenting   overrated. ",-1,0,0,0
21,"hadiyah: rand paul rocking  wet  wavy. ooh kill'em! ",-1,0,-1,0
22,"  "" alinsky model, takingadvantage  useful idiots"" # #bencarson",-1,0.4,0,0.44
23," @jamiaw: "" purpose   military   kill people  break things""-mike huckabee # #kkkorgop",-1,-0.6,-1,-0.691
24," @popehat: ",-1,0,0,0
25,"cancelled ",-1,-0.2,0,-0.25
26," @cavaticat:   watch  ",-1,0,0,0
27," @ncsr18: muppet show. ",-1,0,0,0
28," @rwsurfergirl: tonight  learned  @govchristie thinks  can remove  civil rights  fight terrorism. ",-1,-0.2,0.2,-0.802
29,"chris christie  rand paul feud  tense national security face-  ",-1,-0.4,-1,-0.34
30," @pattonoswalt:   going  ask lenny kravitz's penis one question?    disrespectful. ",-1,0,-1,0
31,"good eyes .@randikayecnn  spotting @360vodka patriot btl  ",-1,0.6,0.333,0.44
32," @_hankrearden: john sinunu,  wrote  book  jeb's dad,  like .   fucking shock. #",-1,-0.267,-0.333,-0.101
33,"steps  help  understand #kkkorgop: 1) define rhetoric, 2) consume # rhetoric, 3) spot similarities. https:///lkuhw2nrxs",-1,0.4,1,0.402
34," @mette_mariek:   dog  looks like  panda. ",-1,0.4,1,0.361
35," @leasavoy: overall view  #..."" stayed home  work  ?"" candidate choice   changed 1 iota.#cruzcrew",-1,0,0,0
36," @bipartisanism: sounds like  ",-1,0.4,1,0.361
37,"reminder: family  important  republican 2016 candidates, just  gay families. :///cs0usassqs # :///fmafdubmfb",-1,0.4,0,0.202
38,"rubio-backed insurance market ""covers 80 people"" -obamacare covers 1.6m  fl alone :///whgcid8ee7 # :///y1awqcpfnw",-1,-0.4,0,-0.25
39,"@avabeata  gonna get  kick   last night! lemme know   think... ",-1,0,-1,0
40," closed captioning   ",-1,0,0,0
41," @alilihay:   also prefer   uterus  registered  washington ",-1,0,0,0
42,"@realalexjones @libertytarian @jakarijax @leeannmcadoo wether @   trojan horse  ,   worth  punt? #",-1,0.4,1,0.226
43," @itsshoboy: ",-1,0,0,0
44,""" think god's  pretty fair guy"" -ben carson, neurosurgeon,   belief modern day taxation   based   ancient book#",-1,0.3,1,0.67
45," @pulmyears: official photo   big #foxnews # last night: :///uaib1m8ekc#teaparty @socalimilitia1 @donkeyarguing",-1,0.2,0,0
46," @olakunlesoriyan: freedom   free...  must fight   everyday--@realbencarson  ",-1,0.133,0.333,0.71
