"token","lsd","n"
"eur",0,214
"company",0,177
"mn",0,99
"finnish",0,86
"finland",0,85
"sales",0,80
"net",0,78
"million",0,77
"profit",0,74
"2009",0,62
"business",0,60
"operating",0,58
"2008",0,57
"period",0,53
"share",0,51
"2007",0,50
"quarter",0,50
"market",0,49
"services",0,48
"oyj",0,47
"mln",0,46
"2010",0,45
"2006",0,35
"loss",-1,35
"contract",0,34
"mobile",0,34
"production",0,34
"helsinki",0,33
"nokia",0,33
"operations",0,31
"products",0,29
"based",0,28
"financial",0,28
"service",0,28
"agreement",1,27
"bank",0,27
"technology",0,27
"compared",0,26
"board",0,25
"construction",0,25
"capital",0,24
"shares",0,24
"companies",0,23
"euro",0,23
"hel",0,23
"solutions",0,23
"deal",0,22
"development",0,22
"total",0,22
"capman",0,21
"customers",0,21
"earlier",0,21
"global",0,21
"increase",0,21
"plant",0,21
"russia",0,21
"unit",0,21
"1",0,20
"acquisition",0,20
"announced",0,20
"corporation",0,20
"equipment",0,20
"media",0,20
"project",0,20
"30",0,19
"annual",0,19
"countries",0,19
"january",0,19
"management",0,19
"pct",0,19
"software",0,19
"billion",0,18
"percent",0,18
"plc",0,18
"ceo",0,17
"exchange",0,17
"oy",0,17
"result",0,17
"signed",0,17
"stock",0,17
"approximately",0,16
"devices",0,16
"including",0,16
"increased",0,16
"industry",0,16
"news",0,16
"rose",0,16
"subsidiary",0,16
"usd",0,16
"10",0,15
"2",0,15
"2005",0,15
"euros",0,15
"expected",0,15
"investment",0,15
"omx",0,15
"product",0,15
"2011",0,14
"building",0,14
"completed",0,14
"design",0,14
"directors",0,14
"information",0,14
"manufacturing",0,14
"september",0,14
"4",0,13
"5",0,13
"customer",0,13
"employees",0,13
"meeting",0,13
"negotiations",0,13
"october",0,13
"price",0,13
"range",0,13
"start",0,13
"addition",0,12
"april",0,12
"data",0,12
"distribution",0,12
"earnings",0,12
"established",0,12
"half",0,12
"international",0,12
"markets",0,12
"provider",0,12
"sale",0,12
"security",0,12
"steel",0,12
"stora",0,12
"sweden",0,12
"swedish",0,12
"systems",0,12
"time",0,12
"12",0,11
"6",0,11
"8",0,11
"basware",0,11
"enso",0,11
"europe",0,11
"industrial",0,11
"maker",0,11
"nordic",0,11
"outotec",0,11
"position",0,11
"shareholders",0,11
"supplier",0,11
"world",0,11
"1.5",0,10
"20",0,10
"7",0,10
"9",0,10
"agreed",1,10
"alma",0,10
"capacity",0,10
"day",0,10
"developed",0,10
"device",0,10
"estimated",0,10
"eur0",0,10
"finnair",0,10
"food",0,10
"growth",0,10
"includes",0,10
"joint",0,10
"kesko",0,10
"line",0,10
"mill",0,10
"months",0,10
"network",0,10
"oil",0,10
"paper",0,10
"phones",0,10
"plans",0,10
"president",0,10
"public",0,10
"quality",1,10
"real",0,10
"related",0,10
"release",0,10
"rental",0,10
"report",0,10
"revenue",0,10
"supply",0,10
"system",0,10
"teliasonera",0,10
"units",0,10
"100",0,9
"15",0,9
"aspocomp",0,9
"baltic",0,9
"china",0,9
"consumer",0,9
"covers",0,9
"credit",1,9
"director",0,9
"dividend",0,9
"elcoteq",0,9
"electronics",0,9
"energy",0,9
"executive",0,9
"facility",0,9
"firm",0,9
"headquartered",0,9
"life",0,9
"month",0,9
"networks",0,9
"office",0,9
"people",0,9
"performance",0,9
"personnel",0,9
"phone",0,9
"projects",0,9
"sector",0,9
"significant",1,9
"stake",0,9
"totalled",0,9
"turnover",0,9
"volume",0,9
"worth",1,9
"14",0,8
"18",0,8
"24",0,8
"added",0,8
"amounted",0,8
"analysis",0,8
"application",0,8
"applications",0,8
"chain",0,8
"chairman",0,8
"city",0,8
"consumers",0,8
"cost",0,8
"decreased",0,8
"delivery",0,8
"division",-1,8
"engineering",0,8
"eps",0,8
"expects",0,8
"fell",0,8
"glass",0,8
"glaston",0,8
"handset",0,8
"income",0,8
"index",0,8
"india",0,8
"indian",0,8
"investments",0,8
"june",0,8
"kemira",0,8
"leading",0,8
"listed",0,8
"local",0,8
"london",0,8
"lower",0,8
"machinery",0,8
"maintenance",0,8
"major",0,8
"makes",0,8
"manager",0,8
"medical",0,8
"november",0,8
"packaging",0,8
"planned",0,8
"plants",0,8
"pohjola",0,8
"presence",0,8
"previously",0,8
"private",0,8
"process",0,8
"processing",0,8
"reported",0,8
"russian",0,8
"sek",0,8
"situation",0,8
"solution",0,8
"sports",0,8
"square",0,8
"strategy",0,8
"totaled",0,8
"transaction",0,8
"25",0,7
"ab",0,7
"ahlstrom",0,7
"aspo",0,7
"august",0,7
"bought",0,7
"center",0,7
"circuit",0,7
"clothing",0,7
"competition",0,7
"corp",0,7
"cramo",-1,7
"december",0,7
"deliver",0,7
"efficiency",1,7
"employs",0,7
"enables",0,7
"equity",0,7
"estate",0,7
"financing",0,7
"fund",0,7
"future",0,7
"grew",0,7
"house",0,7
"internet",0,7
"items",0,7
"july",0,7
"key",0,7
"manufacturer",0,7
"marketing",0,7
"mid",0,7
"owned",0,7
"paid",0,7
"petersburg",0,7
"poland",0,7
"press",0,7
"provide",1,7
"provided",0,7
"pulp",0,7
"reporting",0,7
"secure",1,7
"sell",0,7
"set",0,7
"social",0,7
"st",0,7
"target",0,7
"won",1,7
"0.3",0,6
"33",0,6
"50",0,6
"acquire",0,6
"activities",0,6
"afx",0,6
"announcement",0,6
"base",0,6
"carrier",0,6
"clients",0,6
"combined",0,6
"communication",0,6
"communications",0,6
"componenta",0,6
"consolidated",1,6
"content",0,6
"contracts",0,6
"cooperation",1,6
"cranes",0,6
"current",0,6
"demand",0,6
"designs",0,6
"details",0,6
"due",0,6
"effect",0,6
"enterprise",0,6
"factory",0,6
"february",0,6
"feed",0,6
"fixed",0,6
"focus",0,6
"funds",0,6
"growing",0,6
"held",0,6
"insurance",0,6
