"id","text","rating","afinn","lsd","vader"
1,"entertain.",-1,0,1,0.318
2,"@ salmasekela: kasich aware make sense?",-1,0,1,0
3,"@ thatsmylobster: @ wiseguysutah hey, donald come wiseguy anytime soon? like advance ticket. #",-1,0.5,1,0.361
4,"nobamanoway: https: / / / m2zi6acgno annebayefsky:. govmikehuckabee:",-1,0,0,0
5,"dare @ ask @ history male chauvinist! expect president integrity?!",-1,0.5,1,0.491
6,"@ pulmyears: official photo big # foxnews # last night:: / / / uaib1m8ekc # teaparty @ socalimilitia1 @ donkeyarguing",-1,0.25,-1,0
7,"ever happen answer gonna take care vet?",-1,0.5,1,0.494
8,"@ lindasuhler: jeb stand "" act love ""; comment earn legal status [ boo ] # noamnestyhttp: / / / himscrvikr #",-1,0.5,0,0.691
9,"go go every candidate relatives' resume???",-1,0,0,0
10,"@ johnkasich: hey @, still look chip, check: / / / dy8knz122t #",-1,0,0,0
11,"wfie 14 new u go repo new affect'n nation? https: / / / bdxb2vkyqw via @ youtube @ realalexjones",-1,0,0,0
12,"change racist usage word articulate scribe publican well spoken.",-1,-0.75,0,-0.44
13,"@ rebleber: mention #: vote rightsclimate changegun violencepolice shootingsstudent debtinequality",-1,0,-1,0
14,"# winner yesterday: carly, ben carson, marco rubio,, sad, big gov't mike huckabee. can carly knock christie stage?",-1,0.25,-0.333,0.178
15,"@ tpequality: gay right opponent rick santorum say",-1,0,0,0
16,"close caption",-1,0,0,0
17,"@ monaeltahawy: can someone send",-1,0,0,0
18,"publican still talk abortion like 1960s.",-1,0.5,1,0.361
19,"@ bradonmessage: watch #, candidate @ algore endorse nashville mayor lost. bad.",-1,-0.333,-1,-0.542
20,"@ carlyfiorina go carly! matthews asshat!! nice job!",-1,0.75,1,0.608
21,"s. perry call "" aviation asset "" ( mean spy drone ) "" identify individual "" 24 / 7 #: / / / ipbsiczyin",-1,0.5,1,0.361
22,"big mistake wallace question @ 's busy tactic. never question busy",-1,-0.125,-1,-0.34
23,"lemme see... else? bush, rubio? similar. #",-1,0,0,0
24,"@ salmasekela: moment realize watch fox new handcuff.",-1,0,0,0
25,"@ lindasuhler: jeb stand "" act love ""; comment earn legal status [ boo ] # noamnestyhttp: / / / himscrvikr #",-1,0.5,0,0.691
26,"@ ctblogger: image b sum thought regard last night",-1,0,0,0
27,"@ goldietaylor: close statement!",-1,0,0,0
28,"fitting today",-1,0,0,0
29,"sum haha: 2016 bend start now",-1,0.75,0,0.459
