"token","vader","n"
"book",0,962
"story",0,433
"read",0,381
"books",0,190
"kids",0,142
"time",0,140
"children",0,134
"love",1,130
"reading",0,126
"illustrations",0,119
"characters",0,98
"school",0,90
"fun",1,85
"series",0,85
"cute",1,83
"loved",1,82
"de",0,78
"stories",0,74
"people",0,73
"lot",0,71
"world",0,71
"family",0,69
"feel",0,68
"found",0,68
"life",0,68
"readers",0,67
"bit",0,66
"child",0,62
"writing",0,62
"character",0,59
"animals",0,58
"children's",0,58
"author",0,57
"boy",0,56
"enjoy",1,55
"enjoyed",1,54
"la",0,54
"makes",0,54
"favorite",1,53
"day",0,52
"home",0,52
"written",0,52
"picture",0,51
"girl",0,50
"page",0,50
"en",0,49
"friend",1,49
"reader",0,49
"stars",0,49
"friends",1,47
"parents",0,47
"grade",0,46
"pretty",1,45
"review",0,45
"kid",0,43
"beautiful",1,42
"idea",0,42
"message",0,42
"library",0,41
"mother",0,40
"nice",1,40
"tale",0,40
"words",0,40
"bad",-1,39
"hard",-1,39
"plot",0,39
"age",0,36
"che",0,36
"girls",0,36
"pictures",0,36
"art",0,35
"movie",0,35
"real",0,35
"5",0,34
"funny",1,34
"los",0,34
"sweet",1,34
"baby",0,33
"di",0,33
"sense",0,33
"simple",0,33
"3",0,32
"happy",1,32
"main",0,32
"remember",0,32
"el",0,31
"house",0,31
"live",0,31
"2",0,30
"middle",0,30
"short",0,30
"aloud",0,29
"boring",-1,29
"language",0,29
"original",1,29
"text",0,29
"adult",0,28
"adventure",1,28
"cat",0,28
"ha",1,28
"pages",0,28
"takes",0,28
"die",-1,27
"es",0,27
"father",0,27
"left",0,27
"style",0,27
"told",0,27
"audience",0,26
"class",0,26
"copy",0,26
"cover",0,26
"learn",0,26
"night",0,26
"perfect",1,26
"recommend",1,25
"set",0,25
"students",0,25
"true",1,25
"understand",0,25
"wonderful",1,25
"adorable",1,24
"amazing",1,24
"christmas",0,24
"emily",0,24
"fairy",0,24
"guess",0,24
"half",0,24
"http",0,24
"son",0,24
"special",1,24
"start",0,24
"adults",0,23
"boys",0,23
"classic",0,23
"dog",0,23
"easy",1,23
"head",0,23
"libro",0,23
"star",0,23
"times",0,23
"worth",1,23
"adventures",1,22
"bear",0,22
"care",1,22
"chapter",0,22
"lesson",0,22
"line",0,22
"peter",0,22
"und",0,22
"1",0,21
"clever",1,21
"daughter",0,21
"elementary",0,21
"milk",0,21
"mystery",0,21
"se",0,21
"teacher",0,21
"tells",0,21
"tree",0,21
"childhood",0,20
"fan",1,20
"finally",0,20
"level",0,20
"living",0,20
"money",0,20
"och",0,20
"top",1,20
"disappointed",-1,19
"jonas",0,19
"loves",1,19
"magical",0,19
"nature",0,19
"reason",0,19
"sm",0,19
"una",0,19
"alice",0,18
"decided",0,18
"feeling",1,18
"friendship",1,18
"information",0,18
"lo",0,18
"mas",0,18
"mom",0,18
"sister",0,18
"version",0,18
"word",0,18
"wrong",-1,18
"4",0,17
"action",0,17
"artwork",0,17
"beginning",0,17
"brer",0,17
"brother",0,17
"bullying",-1,17
"coming",0,17
"concept",0,17
"details",0,17
"food",0,17
"highly",0,17
"humor",1,17
"il",0,17
"job",0,17
"list",0,17
"mind",0,17
"play",1,17
"similar",0,17
"super",1,17
"title",0,17
"attention",0,16
"black",0,16
"dark",0,16
"das",0,16
"enjoyable",1,16
"fiction",0,16
"finished",0,16
"free",1,16
"happened",0,16
"het",0,16
"huge",1,16
"learning",0,16
"lessons",0,16
"lost",-1,16
"narrator",0,16
"note",0,16
"quickly",0,16
"society",0,16
"write",0,16
"centipedes",0,15
"como",0,15
"con",0,15
"difficult",-1,15
"entertaining",1,15
"fantastic",1,15
"figure",0,15
"historical",0,15
"horrible",-1,15
"john",0,15
"le",0,15
"lovely",1,15
"mi",0,15
"moral",0,15
"mouse",0,15
"names",0,15
"past",0,15
"rabbit",0,15
"recommended",1,15
"share",1,15
"started",0,15
"stop",-1,15
"strange",-1,15
"stuff",0,15
"taking",0,15
"tales",0,15
"voice",0,15
"10",0,14
"absolutely",0,14
"animal",0,14
"bedtime",0,14
"buy",0,14
"couple",0,14
"creative",1,14
"delightful",1,14
"der",0,14
"engaging",1,14
"experience",0,14
"eyes",0,14
"fair",1,14
"grow",0,14
"happen",0,14
"honestly",1,14
"ich",0,14
"ist",0,14
"literature",0,14
"lives",0,14
"move",0,14
"pero",0,14
"person",0,14
"pick",0,14
"sad",-1,14
"setting",0,14
"si",0,14
"silly",1,14
"sounds",0,14
"teach",0,14
"telling",0,14
"theme",0,14
"town",0,14
"unique",0,14
"ago",0,13
"appeal",0,13
"audio",0,13
"audiobook",0,13
"author's",0,13
"bored",-1,13
"bought",0,13
"color",0,13
"cuentos",0,13
"culture",0,13
"doubt",-1,13
"drawn",0,13
"entire",0,13
"excellent",1,13
"exciting",1,13
"finish",0,13
"glad",1,13
"hat",0,13
"human",0,13
"imagination",0,13
"jack",0,13
"leave",-1,13
"light",0,13
"lots",0,13
"ma",0,13
"magic",0,13
"miss",-1,13
"mysterious",0,13
"odd",-1,13
"philosophy",0,13
"questions",0,13
"relate",0,13
"santa's",0,13
"section",0,13
"skills",0,13
"surprise",1,13
"talk",0,13
"trouble",-1,13
"wonderland",0,13
"ya",0,13
"babies",0,12
"based",0,12
"behavior",0,12
"chance",1,12
"escape",1,12
"esta",0,12
"farm",0,12
"fear",-1,12
"finding",0,12
"george",0,12
"giver",1,12
"hate",-1,12
"heart",0,12
"history",0,12
"holiday",1,12
"hope",1,12
"horse",0,12
"introduction",0,12
"journey",0,12
"kat",0,12
"learns",0,12
"meant",0,12
"named",0,12
"oliver",0,12
"opinion",0,12
"poor",-1,12
"previous",0,12
"quality",0,12
"role",0,12
"secret",0,12
"slow",0,12
"solve",1,12
"sort",0,12
"storytime",0,12
"twin",0,12
"view",0,12
"wait",0,12
"water",0,12
"white",0,12
"worse",-1,12
"yum",0,12
"7",0,11
"8",0,11
"ages",0,11
"american",0,11
"background",0,11
"basically",0,11
"benedict",0,11
"chapters",0,11
"count",0,11
"dan",0,11
"death",-1,11
"disney",0,11
"english",0,11
"events",0,11
"evil",-1,11
"expecting",0,11
"fantasy",0,11
"giving",1,11
"hand",1,11
"heavy",0,11
"illustrator",0,11
"learned",0,11
"london",0,11
"looked",0,11
"meet",0,11
"nick",0,11
"paper",0,11
"poorly",0,11
"pre",0,11
"predictable",0,11
"published",0,11
"rest",0,11
"run",0,11
"save",1,11
"scene",0,11
"sharing",1,11
"single",0,11
"slightly",0,11
"starts",0,11
"strong",1,11
"tone",0,11
"totally",0,11
"100",0,10
"12",0,10
"actual",0,10
"add",0,10
"addition",0,10
"afraid",0,10
"aimed",0,10
"anak",0,10
"awesome",1,10
"book's",0,10
"break",0,10
"changing",0,10
"child's",0,10
"classes",0,10
"close",0,10
"completely",0,10
"cool",1,10
"created",1,10
"da",0,10
"development",0,10
"discovered",0,10
"elements",0,10
"exchange",0,10
"fit",1,10
"flow",0,10
"fly",0,10
"frog",0,10
"green",0,10
"harry",0,10
"helping",1,10
"honest",1,10
"horror",-1,10
"ideas",0,10
"illustrated",0,10
"illustration",0,10
"island",0,10
"land",0,10
"las",0,10
"loud",0,10
"matter",1,10
"memory",0,10
"nicht",0,10
"personal",0,10
"philosophical",0,10
"plenty",0,10
"popular",1,10
"positive",1,10
"princess",0,10
"red",0,10
"robots",0,10
"sich",0,10
"solo",0,10
"summer",0,10
"terrible",-1,10
"thinking",0,10
"trip",0,10
"twins",0,10
"twist",0,10
"walk",0,10
"war",-1,10
"weird",-1,10
"window",0,10
"yoga",0,10
"added",0,9
"african",0,9
"auch",0,9
"aunt",0,9
"bears",0,9
"blue",0,9
"brilliant",1,9
"building",0,9
"call",0,9
"change",0,9
"city",0,9
"colors",0,9
"community",0,9
"create",1,9
"decides",0,9
"den",0,9
"dream",1,9
"encounter",0,9
"familiar",0,9
"families",0,9
"fat",0,9
"filled",0,9
"fine",1,9
"follow",0,9
"fourth",0,9
"future",0,9
"glossary",0,9
"grandmother",0,9
"hated",-1,9
"heard",0,9
"hilarious",1,9
"ho",0,9
"imaginative",0,9
"imagine",0,9
"immediately",0,9
"included",0,9
"includes",0,9
"incredibly",0,9
"lacking",0,9
"lead",0,9
"leaves",0,9
"likes",1,9
"listening",0,9
"loving",1,9
"means",0,9
"messages",0,9
"minna",0,9
"months",0,9
"pan",0,9
"parent",0,9
"perfectly",1,9
"personally",0,9
"prince",0,9
"project",0,9
"random",0,9
"rating",0,9
"rats",0,9
"received",0,9
"religious",0,9
"rhyming",0,9
"running",0,9
"sarg",0,9
"sentence",1,9
"sheep",0,9
"shelf",0,9
"simply",0,9
"snow",0,9
"sono",0,9
"soup",0,9
"stand",0,9
"student",0,9
"talking",0,9
"teaches",0,9
"von",0,9
"watch",0,9
"week",0,9
"wolf",0,9
"women",0,9
"yeah",1,9
"11",0,8
"9",0,8
"al",0,8
"alice's",0,8
"amusing",1,8
"annoyed",-1,8
"annoying",-1,8
"appreciated",1,8
"ar",0,8
"beautifully",1,8
"bed",0,8
"begin",0,8
"begins",0,8
"board",0,8
"bright",1,8
"bring",0,8
"buku",0,8
"bullies",0,8
"bully",-1,8
"called",0,8
"candy",0,8
"candymakers",0,8
"cast",0,8
"charming",1,8
"claudia",0,8
"collection",0,8
"concepts",0,8
"confused",-1,8
"cows",0,8
"crowd",0,8
"days",0,8
"deep",0,8
"del",0,8
"depth",0,8
"dr",0,8
"eat",0,8
"eggs",0,8
"eine",0,8
"era",0,8
"eventually",0,8
"excited",1,8
"expected",0,8
"explained",0,8
"extremely",0,8
"fall",0,8
"fans",0,8
"feelings",0,8
"feels",0,8
"handed",0,8
"happening",0,8
"helps",1,8
"henry",0,8
"hug",1,8
"ik",0,8
"impressed",1,8
"inside",0,8
"knowledge",0,8
"letters",0,8
"libros",0,8
"lowry",0,8
"mallory",0,8
"managed",0,8
"math",0,8
"mentioned",0,8
"minds",0,8
"missing",-1,8
"modern",0,8
"morning",0,8
"narration",0,8
"narrative",0,8
"nicely",1,8
"notes",0,8
"obvious",0,8
"offer",0,8
"originally",0,8
"picked",0,8
"po",-1,8
"por",0,8
"pose",0,8
"potential",0,8
"powerful",1,8
"queen",0,8
"quick",0,8
"ralph",0,8
"realistic",0,8
"realize",0,8
"reminded",0,8
"repetitive",-1,8
"reviews",0,8
"sadly",-1,8
"saige",0,8
"scary",-1,8
"snicket",0,8
"song",0,8
"species",0,8
"speech",0,8
"spoiler",0,8
"stupid",-1,8
"su",0,8
"subject",0,8
"surprised",1,8
"ten",0,8
"themes",0,8
"train",0,8
"type",0,8
