"","id","text","rating","afinn","lsd","vader","sums"
"404",404,"RT @ELLEmagazine: ICYMI John Kasich's gay marriage response. Wow. ","Neutral",0.8,-1,0.586,3.6
"368",368,"""We don't win anymore.  We lose to China.  We lose to Mexico.  We lose to everybody."" -Trump

Preach it, sir, preach it! #GOPDebate","Positive",0.8,-0.5,-0.888,3.376
"672",672,"RT @brianmrosenthal: ICYMI: At #GOPDebate, @RandPaul calls out Houston Mayor Annise Parker over #HERO controversy: http://t.co/qxB1edQOzN","Positive",0,-1,0.652,3.304
"273",273,"Cruz: ""I receive the word of God everyday..."" 

God: ""Don't blame me for this guy. There are pills for those voices.""

#GOPdebates","Negative",0,-1,0.641,3.282
"599",599,"Todd Palin &amp; Rand Paul have closed down a Senor Frogs in Puerto Vallarta together after a day of rigorous jet skiing ","Neutral",0.6,-1,-0.273,3.2
"224",224,"RT @TheRecruitChair: Not going to vote for Trump, but I'll definitely let him guest write in my Burn Book #GOPDebate","Negative",0,-1,0.55,3.1
"88",88,".@OKnox and @sbg1: #GOPDebate was good reality TV, but not a great discussion of the issues:   http://t.co/C7fwjMdQcZ","Neutral",0.6,1,-0.541,3.082
"459",459,"@Bipartisanism Well, technically we didn't, but the Supreme Court said we did.  #GOPDebate","Neutral",0,1,-0.516,3.032
"949",949,"RT MolonLabia67: RT icareviews: No more wars for Israel. ","Neutral",-0.2,-1,0.497,2.994
"181",181,"Last night, my TV watching involved plenty of laughter (#GOPDebate) and some tears (#JonVoyage). What an emotional night of TV!","Neutral",-0.4,-1,0.493,2.986
"752",752,"Actually Trump, we live in the least violent time in human history. #GOPDebate","Positive",-0.6,-1,0.485,2.97
"516",516,"RT @Jarjarbug: Cary Fiorina should have been in the top tier last night... I can think of a couple of @GOP who shouldn't even bother! ","Neutral",0,-1,0.482,2.964
"702",702,"No channel to watch now. #CNN is liberal,#FNC &amp; @megynkelly r #RNC hitman #crony . @realDonaldTrump dont join #GOPDebate anymore #GoTrump","Negative",0,1,-0.475,2.95
"76",76,"RT @MiaHoll18: @BradThor If Mr. Trump runs as an Independent the Republicans can't win either. ","Positive",0.8,1,-0.472,2.944
"29",29,"The Republican Party wakes up with a huge hangover, a splitting headache and no idea why it's in bed with Donald Trump. #GOPDebate #RSG15","Negative",0,-1,0.421,2.842
"575",575,"Yeah all the candidates are going to repel Obamacare and replace it with something! Go GOP! ","Positive",0.2,-1,0.418,2.836
"892",892,"I missed the #GOPDebate (driving The Mother Road) but I did take a very satisfying bowel movement in Bushland, Texas. http://t.co/e0HUW70rRR","Positive",-0.4,1,0.591,2.8
"979",979,"@mcbyrne Trump did NOT threaten Megyn Kelly, drama queen. #GOPDebate #FOXNEWSDEBATE #FoxDebate","Positive",-0.4,1,0.292,2.8
"872",872,"The real voice of the #GOP in the #GOPDebate was @realDonaldTrump. @FoxNews don't be mad, he's only parroting what you have been sying 4yrs.","Negative",-0.6,-1,0.388,2.776
"926",926,"#GOPDebate Final Statement: Please Pander to Religious Nutjobs and Illiterates. Go!

##FOXNEWSDEBATE
#GOP
#GOPDebates 
#RWNJ","Negative",0.2,-1,0.38,2.76
"364",364,"""I defunded Planned Parenthood. I created a culture of life."" PP = healthier people, parents &amp; babies &amp; LOWERS no. of abortions. #GOPDebates","Positive",-0.2,1,-0.347,2.694
"9",9,"RT @Kjhobbs1985: @TheDemocrats not really... like the @ppact videos you're not watching anyway. ","Negative",0.4,1,-0.324,2.648
"816",816,"WE CAN FILE FOR BANKRUPTCY ON 19 TRILLION DOLLARS. How cool is that. ","Neutral",0.2,-1,0.318,2.636
"759",759,"RT @ThePatriot143: You Don't have to support Trump to realize that every question was delivered in a Backhanded manner ","Neutral",0.4,1,-0.309,2.618
"263",263,"RT @FoxNews: .@ScottWalker pledges to lower the tax rate and reform the tax code, if elected president. #GOPDebate http://t.co/sknHfYkw3U","Positive",0,1,-0.296,2.592
"205",205,"I don't dislike Jeb as much as most ","Positive",-0.4,-1,0.292,2.584
"214",214,".@ppact can sell baby parts for profit, or whatever you want to call it, but Trump can't call a woman a slob. #GOPDebate #PC #Trump2016","Positive",0.2,-1,0.273,2.546
"361",361,"Chase A Norton wants to know if you have received a word from God to vote for @NYCityCountry in the ","Negative",0.2,-1,0.273,2.546
