"id","text","rating","afinn","lsd","vader"
1,"The personnel reduction will be carried out in Anjalankoski , Hollola , Jyvaskyla , Jarvenpaa , Karhula , Turku and Valkeakoski units .",-1,0,0,0
2,"Finnish Suominen Corporation that makes wet wipes , nonwovens , and flexible packaging is starting employer-employee negotiations at its Tampere plant in Finland to lay off about 25 employees .",-1,0,0,0.226
3,"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation .",-1,-0.6,0,-0.318
4,"Several large stocks tacked lower , however .",-1,0,0,-0.296
5,"Compared with the FTSE 100 index , which rose 36.7 points ( or 0.6 % ) on the day , this was a relative price change of -0.2 % .",-1,0,0,0
6,"`` There 's the issue of thieves stealing them from building sites , '' said Mr Smith .",-1,0,-1,-0.791
7,"Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier .",-1,0,0,0
8,"Operating loss totalled EUR 0.9 mn , down from a profit of EUR 2.7 mn .",-1,-0.6,-1,0.153
9,"As capacity was cut with 1.4 % , the passenger load factor was down 7.8 percentage points .",-1,-0.2,0,-0.273
10,"The company confirmed its estimate for lower revenue for the whole 2009 than the year-ago EUR 93.9 million USD 137.3 m as given in the interim report on August 5 .",-1,0,1,-0.296
11,"`` The considerably weaker U.S. dollar and British pound had an impact on sales and average prices in euros , '' UPM said .",-1,0,-1,-0.493
12,"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 .",-1,0,0,-0.318
13,"In Q1 of 2009 , the company 's operating loss totalled EUR 0.3 mn , compared to a profit of EUR 3.6 mn in Q1 of 2008 .",-1,-0.6,-1,0.153
14,"During the strike , Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day .",-1,-0.4,-1,-0.421
15,"In this case , the effect would be negative in Finland .",-1,-0.4,-1,-0.572
16,"23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .",-1,-0.6,-1,0.153
17,"Operating profit before non-recurring items was EUR 8.3 mn in the first nine months of 2008 , compared to EUR 8.4 in the corresponding period in 2007 .",-1,0,0,0.44
18,"( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a",-1,-0.6,-1,-0.318
19,"Initially , the company said a maximum of 15 people would be made redundant in the parent company and about 15 in its subsidiaries .",-1,0,-1,0
20,"The offer , deemed too low by Finnlines ' board , stands until 4 pm tomorrow .",-1,0,-1,-0.273
21,"Due to the rapid decrease in net sales , personnel reductions have been carried out on a wider scale than initially expected .",-1,0,0,0
22,"`` The implementation of these programs has had , and will have , negative impacts on 2006 and 2007 earnings , '' Mr Meiklejohn said .",-1,-0.4,-1,-0.572
23,"Finnish textiles and clothing group Marimekko Oyj posted a net profit of 7.99 mln euro $ 10.4 mln for 2006 , compared to 8.4 mln euro $ 10.9 mln for 2005 .",-1,0,0,0.44
24,"Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 .",-1,0,0,0.44
25,"Earnings per share ( EPS ) amounted to a loss of EUR0 .38 .",-1,-0.2,-1,-0.026
26,"In Finland 's Hobby Hall 's sales decreased by 10 % , and international sales fell by 19 % .",-1,0,0,0
