"token","vader","n"
"rt",0,452
"gopdebate",0,233
"t.co",0,156
"http",0,129
"trump",0,108
"gopdebates",0,96
"debate",0,54
"realdonaldtrump",0,53
"megynkelly",0,44
"gop",0,42
"night",0,39
"donald",0,38
"foxnews",0,35
"amp",0,34
"candidates",0,31
"people",0,29
"https",0,27
"night's",0,24
"carson",0,23
"god",1,23
"question",0,23
"time",0,23
"real",0,22
"watching",0,22
"fox",0,21
"jeb",0,21
"news",0,21
"president",0,20
"hands",0,19
"republican",0,19
"candidate",0,18
"huckabee",0,18
"rubio",0,18
"2",0,17
"cam",0,17
"ericstonestreet",0,17
"megyn",0,17
"america",0,16
"bush",0,16
"cruz",0,16
"ben",0,15
"debates",0,15
"kasich",0,15
"love",1,15
"rwsurfergirl",0,15
"hillary",0,14
"party",1,14
"paul",0,14
"tonight",0,14
"watch",0,14
"winner",1,14
"fiorina",0,13
"kelly",0,13
"life",0,13
"stage",0,13
"carly",0,12
"questions",0,12
"rand",0,12
"watched",0,12
"1",0,11
"clinton",0,11
"goldietaylor",0,11
"hillaryclinton",0,11
"rights",0,11
"talk",0,11
"wait",0,11
"won",1,11
"carlyfiorina",0,10
"gay",0,10
"military",0,10
"republicans",0,10
"talking",0,10
"tv",0,10
"2016",0,9
"answer",0,9
"break",0,9
"huge",1,9
"illegal",-1,9
"mike",0,9
"sense",0,9
"10",0,8
"bettyfckinwhite",0,8
"car",0,8
"closing",0,8
"kwrcrow",0,8
"call",0,7
"country",0,7
"donaldtrump",0,7
"guy",0,7
"hair",0,7
"hear",0,7
"immigration",0,7
"kill",-1,7
"marcorubio",0,7
"person",0,7
"randpaul",0,7
"run",0,7
"salmasekela",0,7
"scottwalker",0,7
"support",1,7
"ted",0,7
"tonight's",0,7
"trump's",0,7
"twitter",0,7
"vote",0,7
"walker",0,7
"win",1,7
"wins",1,7
"woman",0,7
"word",0,7
"world",0,7
"wow",1,7
"alien",0,6
"berniesanders",0,6
"black",0,6
"boo",0,6
