"id","rating","text","afinn","lsd","vader"
1,"neutral","tyrv+æinen i of the opine that the airline ha been repeat this for some time already, however.",0.4,0,0.34
2,"neutral","the pay of eur 105 million debenture bond i relate to the company 's previous announce on october 21, 2009 to collect irrevocable sell commitment from the hold of it subordinate debenture bond.",0.1,1,0.296
3,"neutral","the group 's consolidate net sale for 2009 total 1.5 billion euro and it employ approximate 10,000 person.",0,1,0
4,"neutral","london afx - fortum said it ha agree to sell it industrial maintenance service operate to fund manage by capman for an disclosed sum.",0.3,1,0.599
5,"neutral","in asia early, japan 's nikkei index fell 0.62 percent and hong kong 's hang seng index rose 0.56 percent.",0,0,0
6,"positive","in the third quarter of 2010, net sale crease by 5.2 % to eur 205.5 mn, and operate fit by 34.9 % to eur 23.5 mn.",0.2,1,0.361
7,"neutral","country:, finland sector: construction - real estate target: pohjolan sign - talo oy buy: capman oyj vendor: ruukki group oyj deal size in usd: 102.6 m type: divest status: agree",0.2,1,0.361
8,"neutral","h last position in nokia siemens network was head of busy human source nsn global it.",0,0,0
9,"neutral","the sale price was not disclose.",0,0,0
10,"positive","cost cutting measure, which have produce around eur70m of save over the past nine months, have dampen the airline 's loss, finnair said.",-0.133,-1,0.103
11,"positive","ramirent i the lead construction machinery rental company in finland with annual sale of eur 134 million in 2009 and operate nationwide through 83 outlet and 612 employee.",0,0,0
12,"positive","hearst will be able to consolidate about 20 % of all russian market for advertise in press aft the purchase.",0,1,0
13,"neutral","the ipad apply join the iphone app a part of monster 's range of mobile apply for job hunt.",0.2,0,0.296
14,"positive","( i & h ) in a move to enhance grow.",0,1,0
15,"positive","the purpose of this action i to ensure company 's cost effective this year and in the near future.",0.3,1,0.691
16,"positive","the company 's operate come ( ebit ) totalled eur 0.0 mn, up from eur -0.3 mn year - on - year.",0,0,0
17,"neutral","the manage i critical of politician ' failure to differentiate between beleaguer european financial institute and skandinavian bank, `` which sail through the crisis without issue ''.",-0.5,-1,-0.866
18,"positive","for teleste, the acquisition mark an entry to service busy in a market where it ha long been an establish and significant supply of duct.",0.3,1,0.494
19,"neutral","finnish it consultancy satama interact oyj said on november 13, 2006 that jarmo lonnfors took up the position of ceo.",0,0,0
20,"neutral","the power generate annual by loviisa cover about 10 % of finland 's electricity consumption.",0,1,0
21,"neutral","finnish property investor sponda said it ha agree a 100 mln eur, f - year mln credit facility with swedbank and a 50 mln eur, seven - year facility with oko bank.",0.3,1,0.758
22,"positive","net interest come total eur 15.9 mn, compare to eur 15.6 mn a year early.",0.2,0,0.459
23,"neutral","lember said the matte was topical also in estonia, where a bill ha been draft at the social affair ministry that would scrap old - age pension on favorable condition.",0.4,0,0.67
24,"neutral","pohjola could crease it stake to 45 % in 2013.",0,0,0
25,"neutral","under the agree ponsse will provide forest machine maintenance service to stora enso 's russian wood procurement operate.",0.2,1,0.361
26,"neutral","the handset maker did not disclose any financial tail.",0,0,0
27,"positive","last year the company raise it turnover to approximate 7 million litas eur 2 mln, from 6.1 million litas in 2004.",0,0,0
28,"positive","helsinki afx - kci konecranes said it ha won an order for four hot metal ladle crane from indian steel produce bhushan steel and strip ltd..",0.5,1,0.727
29,"neutral","manavigator - november 1, 2010 - deal snapshot: swedish peab buy equipment rental firm cramo swedish construction company peab ab ( sto: peab b ) announce the acquisition of equipment rental company cramo entreprenadmaskiner ab from finnish group cramo oyj ( hel: cra1v ).",0,-1,0
30,"positive","other carry and handset maker spin it a a posit event that will raise interest for high - end phone and pricier data plan.",0.2,0,0.459
31,"positive","the new create position ha been establish to strengthen amer sport ' manage in strategic planning and execute.",0.4,1,0.7
32,"neutral","vacon recent announce plan to build it north american headquarter at 5 busy park in chambersburg.",0,0,0
33,"positive","turn on equity stood at 18.3 % compare to 15.4 % in the third quarter of 2005.",0,0,0
34,"neutral","the company ha an annual turnover of eur32 .8 m.",0.4,0,0.34
35,"neutral","`` director and shareholder alike should ask why these practice were allow to continue. ''",0.2,0,0.226
36,"neutral","a spokeswoman for the italian fashion house decline com on the settlement.",0,0,0
37,"neutral","amanda capital ha vestment in 22 private equity fund and in over 200 quote company main in europe.",0.4,0,0.34
38,"positive","net come from life insurance rose to eur 16.5 mn from eur 14.0 mn, and net come from non - life insurance to eur 22.6 mn from eur 15.2 mn in 2009.",0,0,0
39,"neutral","kesko ha previous publish a stock exchange lease concerning the deal on 7 february 2007.",0.4,0,0.34
40,"neutral","tecnomen 's system feature a new range of value - add service for prepaid and post - paid bill, charge and rate of voice call, data traffic, or any kind of content service in both mobile and fix network.",0.4,-1,0.34
41,"neutral","the busy area 's net sale were slight over 2m in 2006.",0,0,0
42,"neutral","the technology park will be built near st. petersburg - base pulkovo airport.",0,0,0
43,"negative","konecranes oyj kcr1v fh fell 5.5 percent to 20.51 euro, the biggest fall since june.",0,0,0
44,"negative","operate fit for the 12 - month period crease from eur28 .2 m while net turnover crease from eur313 .42 m, a compare to the financial year 2004.",0.2,1,0.361
45,"positive","earn p share for january - june 2010 were eur0 .30, an crease of 20 % year - on - year eur0 .25.",0.2,0,0.296
46,"neutral","mr jortikka i president of the base metal division of outotec oyj in finland and i on the execute committee of outotec.",0,-1,0
47,"neutral","finnish heat - retaining fireplace maker tulikivi oyj said on august 29, 2007 that it local tile stove and utility ceramic subsidiary kermansavi oy will merge to tulikivi by mean of absorption in order to streamline the late 's corporate structure.",0,1,0
48,"neutral","construction i expect to be complete in the summer of 2011.",0,0,0
49,"positive","follow the acquisition, relacom will strengthen it presence in finland, serve operator and office market with mobile and fix network construction, installation and maintenance service.",0.4,1,0.318
50,"neutral","comment on the deal, shane lennon, svp of market & duct develop at gypsii said:?",0,0,0
51,"neutral","member of the hk ruokatalo group in finland, scan, i launch a joint venture slaughterhouse with team ugglarp in sk+ _ ne, southern sweden.",0,-1,0
52,"negative","in addition the production personnel of the sport division have been given a temporary lay - off warn.",-0.4,-1,-0.103
53,"neutral","the other two sell were the finnish national fund for r & d ( sitra ) and oras vest oy, which also sold half of their shareholding, leave them with 3.8 pct and 3.2 pct of the company respective.",-0.2,0,0.382
54,"positive","the price of raw material aluminium went up at the end of 2005, but the company consider it outlook for 2006 favourable.",0,1,0
55,"positive","finnish retailer stockmann ha won approval from the board of swedish rival lindex for a public tender off with the aim of expand the company ' presence in russia and other cee country, stockmann said monday.",0.4,1,0.889
56,"neutral","poyry plc additional information by: martin kuzaj, president, industry busy group, finland tel. +358 10 33 21179 sanna paivaniemi, director, investor relate, poyry plc, finland tel. +358 10 33 23002 poyry i a global consult and engineer company dedicate to balance sustainability.",0,1,0
57,"negative","finnish food worker ' ion sel plan to hast it collect bargain with a two - day strike that would begin on 7 april 2010, in finland.",0.1,0,0.077
58,"neutral","in the video above marimekko 's sign manage, noora niiininoski, explain that the brand are a natural fit for each other because they both have a timeless style.",0.2,1,0.612
59,"neutral","the company 's board of director will pose a dividend of eur 0.14 for 2008 at the annual general meet.",0,0,0
60,"positive","the circuit 's overall production rate on a week basis i now in excess of an average of 40,000 tonne p day, with volume in excess of 50,000 tonne p day bee reach on individual day.",0.2,0,0.026
61,"neutral","the total invest in the vantaa plant extension will amount to around 10 million euro, and okmetic 's share of the vestment will be worth around 2.7 million.",0.3,1,0.477
62,"positive","turn on capital employ rose by 4.8 percentage point to 19.6 %.",0,0,0
63,"neutral","stora enso, a global paper, package and wood duct company, and neste oil, a finnish company engage in the fine and market of oil, have inaugurate the demonstrate plant at varkaus, finland for biomass to liquid production utilize forestry residue.",0.3,1,0.494
64,"negative","base on the first quarter result, exist order backlog and new order prospect, the company expect that full - year sale will tract by 25 % from 2008, the gross margin will stay at a healthy level, and the operate fit margin will be low than in 2008 due to low sale volume.",0.1,0,0.026
65,"positive","ebit totalled eur 14.4 mn, compare to a loss of eur 0.3 mn in the correspond period in 2009.",-0.6,-1,-0.318
66,"neutral","viking will pay eur 130 million for the new ship, which will be complete in january 2008.",-0.2,0,-0.103
67,"neutral","fortum also ha a block stake in northwestern tgk - 1.",0.1,-1,-0.128
68,"neutral","the ecb can main target inflation.",0,0,0
69,"neutral","together with latvia, cramo will operate 54 rental outlet in the baltic state.",0,-1,0
70,"negative","nordic bank have already had to write off sizable loan in latvia, with swedbank, nordea, dnb nor and seb port combine loss in excess of $ 1.35 billion in the period 2007 to 2010 against a backdrop of near economic meltdown in latvia.",-0.6,-1,-0.318
71,"negative","thank to the internet, consume compare duct more than previous and finnish company are not competitive.",0.4,1,0.246
72,"negative","in january - november 2009, the group 's sale totalled eur 7,801.7 mn, which was a drop of 12.6 % from the same period of 2008.",-0.2,0,-0.273
73,"neutral","nordic walk was first use a a summer train method by cross - country ski.",0,0,0
74,"positive","nasdaq - list yahoo c ha introduce a new service that enable malaysians to take their favorite internet content and service with them on their mobile phone.",0.4,1,0.66
75,"neutral","accord to olvi, the company i already negotiate new agreement.",0.2,1,0.494
76,"neutral","this pc apply allow user to copy file and other data from their nokia mobile vice to their computer a well a create backup content.",0.2,0.333,0.625
77,"negative","operate loss total eur 0.3 mn compare to a fit of eur 2.2 mn in the correspond period in 2007.",-0.2,0,0.052
78,"neutral","operate fit for the 12 - month period crease from eur9 .6 m while net sale crease from eur69 .0 m, a compare to 2005.",0.2,1,0.361
79,"neutral","under the agree, japrotek will deliver nine storage tank in the volume range of 1,000 cu m to 3,000 cu m with include agitator.",0.2,0,0.026
80,"neutral","in addition to it stake in megafon, telecominvest current own 100 % of share in web plus and st. petersburg payphone, 51 % in telecom equipment produce pet - servis and a numb of other minor asset.",0.133,0,0.318
