"id","text","rating","afinn","lsd","vader"
1,"As a result of the negotiations the employment of 130 blue - and white-collar employees at the Oulu plant would be terminated .",-1,0,0,0
2,"Many of the commercial vessels had got stuck in the narrow Bay of Bothnia , where the ice is thicker , and around the Aaland islands .",-1,-0.4,0,-0.25
3,"Finnish media group Talentum has issued a profit warning .",-1,-0.6,0,0.128
4,"Agricultural newspaper Maaseudun Tulevaisuus had 318,000 readers , representing a decrease of 6 % .",-1,0,0,0
5,"Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before .",-1,0,0,0.44
6,"`` We can say that the number of deals has become normalized by the moment , and therefore we have decided to devalue our apartments now on sale , '' he added .",-1,0,-1,0.077
7,"In a separate announcement to the Helsinki stock exchange , Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 .",-1,0,0,0.44
8,"Net sales decreased to EUR 91.6 mn from EUR 109mn in the corresponding period in 2005 .",-1,0,0,0
9,"Paper stocks were among the biggest fallers , with Stora Enso down 2.30 pct to 14.01 eur , M-real down 2.86 pct to 5.09 eur and UPM-Kymmene 1.14 pct lower at 19.10 eur .",-1,0,0,-0.296
10,"Commission income fell to EUR 4.6 mn from EUR 5.1 mn in the corresponding period in 2007 .",-1,0,0,0
11,"20 October 2010 - Finnish environmental management company Lassila & Tikanoja Oyj HEL : LAT1V , or L&T , said Monday it expects its operating profit , excluding non-recurring items , for the whole 2010 to be slightly lower than in 2009 .",-1,0,-1,0.248
12,"The company 's annual loss amounted to EEK 18mn , compared to a profit of EEK 7.3 mn in 2008 .",-1,-0.6,-1,0.153
13,"ADPnews - Feb 5 , 2010 - Finnish real estate investor Sponda Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 .",-1,-0.6,-1,0.153
14,"Finnair believes the strike will cause it daily net losses in excess of EUR 2mn due to canceled reservations and passenger re-routing .",-1,-0.2,-1,-0.494
15,"Finnish forest industry group Stora Enso Oyj issued on Thursday ( 20 March ) a profit warning for the first quarter 2008 .",-1,-0.6,-1,0.128
16,"The personnel reduction will be carried out in Anjalankoski , Hollola , Jyvaskyla , Jarvenpaa , Karhula , Turku and Valkeakoski units .",-1,0,0,0
17,"Small investors have voiced fears that the shares will end up with risk investors .",-1,-0.1,-1,-0.402
18,"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 .",-1,0,0,-0.318
19,"The administrators have indicated a need for 900 job cuts at the Irish insurer over the next 15 months .",-1,-0.2,0,-0.296
20,"IT services firm TietoEnator was bucking the general trend , holding flat at 22.70 eur , after slipping back from earlier gains .",-1,0.4,0,0.34
21,"The steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations .",-1,-0.2,-1,-0.557
22,"Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 .",-1,0.2,0,0.296
23,"( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a",-1,-0.6,-1,-0.318
24,"30 November 2009 - Finnish office furniture maker Martela Oyj HEL : MARAS said today that it will make redundant three people and other nine will be laid off permanently from the company 's office staff and factory workers .",-1,0,-1,0
25,"Finnish airline Finnair is starting the temporary layoffs of cabin crews in February 2010 .",-1,0,0,0
26,"The number of salaried employees and group administration employees to be dismissed from the Sievi units is 17 .",-1,0,-1,0.077
27,"Earnings per share ( EPS ) amounted to EUR1 .37 , down from EUR2 .30 .",-1,0.2,0,0.296
28,"Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier .",-1,0,0,0
29,"Konecranes Oyj KCR1V FH fell 5.5 percent to 20.51 euros , the biggest fall since June .",-1,0,0,0
30,"Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' .",-1,-0.2,-1,-0.827
31,"Stora Chief Executive Jouko Karvinen has described the Russian tariff hikes as a threat to the future of the forest products industry in Finland .",-1,-0.4,-1,-0.527
