"id","text","rating","afinn","lsd","vader"
1,"God blessed our country, the Republican candidates....but NOT them democrats. -Rubio #Paraphrase #GOPDebates you... http://t.co/PgijYpJZdf","Negative",0.2,1,0.718
2,"@slone @instapundit There are actually people angry that the candidates were asked real questions?  Seriously?
#GOPDebate","Positive",-0.6,-1,-0.655
3,"RT @juliaioffe: An elegant, witty round-up of last night's #GOPDebate by @tnyCloseRead http://t.co/cW0rAc9wQh","Negative",0.4,1,0.477
4,"RT @DemocracyMatrz: Did Trump just admit to buying influence while at the same time declaring the need for campaign finance reform??? ","Negative",-0.2,1,0.327
5,"I loved it in the ","Negative",0.6,1,0.599
6,"""I think God's a pretty fair guy"" -Ben Carson, neurosurgeon, on his belief modern day taxation should be based on an ancient book
#GOPDebate","Negative",0.3,1,0.67
7,"RT @RWSurferGirl: Why should @realDonaldTrump pledge support to the GOP when the establishment sold out to Obama? ","Negative",0.4,1,0.402
8,"RT @jamiaw: ""The purpose of the military is to kill people and break things""-Mike Huckabee #GOPDebates #KKKorGOP","Negative",-0.6,-1,-0.691
9,"You see the people in the audience looking around when they clapped for Gay Rights. People were like, da fuk... #GOPDebates","Negative",0.4,1,0.361
10,"RT @GhesheS: ","Negative",0,0,0
11,"Summary of @realDonaldTrump at ","Neutral",0,0,0
12,"In his hermetically sealed bedchamber, Pat Robertson has just tuned into the #GOPDebates, popcorn in hand. ""I was told there'd be miracles.""","Neutral",0,1,0.494
13,"","Negative",0,0,0
14,"GOP Debate News - Trump Shocks GOP Faithful - http://t.co/TdLF7jC3Ig -","Negative",0.1,0,0.077
15,"RT @danholler: Cruz hit unconstitutional executive actions, #PlannedParenthood, religious liberty and Iran deal in final answer. #GOPDebate","Neutral",0,1,0.527
16,"RT @goldietaylor: Commercial break! ","Positive",0,0,0
17,"RT @warriorwoman91: Carly Declared Winner by Many at the first ","Positive",0.8,1,0.586
18,"RT @NumbersMuncher: Donald Trump is the guy who flips the Risk board over once he realizes he can't overtake Asia. ","Neutral",-0.4,-1,-0.273
19,"RT @kwrcrow: When will they learn? @FoxNews @megynkelly attack @realDonaldTrump and he wins @TIME &amp; @DRUDGE poll. ","Negative",0.3,0.333,0.153
20,"RT @Popehat: #GOPDebates Paul: ""I want to collect more records from terrorists and fewer from Americans.""","Negative",0.2,-1,-0.62
21,"Roger Ailes set up @realDonaldTrump from the first Q. ","Neutral",0,-1,0
22,"RT @AC360: ","Neutral",0,0,0
23,"Trump announcing he'd run as an Independent,  being exposed as Democrat, then going off on Megyn Kelly hurts that. #GOPDebate","Negative",-0.3,-1,-0.527
24,"RT @NARAL: .@BobbyJindal brags about how anti-choice his state is; @amprog report in 2013 said Louisiana was WORST state for women. ","Negative",-0.6,-1,-0.703
25,"RT @gov: Most-Tweeted ","Negative",0,0,0
26,"Enjoyed the ","Neutral",0,1,0.511
27,"#VoteBlue than, eh? RT @OutnumberedFNC .@JedediahBila I want to put someone in [office] that I don't want to have to worry about #GOPDebate","Neutral",-0.067,-1,-0.426
28,"Here Are 21 Policy Highlights From the First 2016 Republican Debate ","Neutral",0,0,0
29,"Where can I watch the ","Positive",0,0,0
30,"RT @Gauchat: Hopefully we'll find out where God stands on the taxing-pimps issue. ","Negative",0.3,1,0.586
31,"Yay! We made it  
Happy Friday Folks!
Enjoy your weekend!
#POTUS #GOPDebate #GOP 
#HillaryClinton ROCKS! http://t.co/mzc49JrkQ8","Neutral",0.5,1,0.909
32,"The big twist of the ","Neutral",0.2,0,0
33,"RT @ericstonestreet: Trump has Cam hands. ","Positive",0,0,0
34,"RT @MariaLiaCalvo: .@charles_gaba wins the Internet tonight. ","Neutral",0.8,1,0.572
35,"RT @TexasCruzn: RT @AllenWestRepub ""Dear @JebBush #GOPDebate #NotAMistake http://t.co/1z3VuFjZlw""","Neutral",0.4,1,0.382
36,"RT @nonprophetess: ""Received word from God.""

This should be good.
#GOPDebate","Positive",0.4,1,0.612
37,"RT @UniteBlueWI: ","Neutral",0,0,0
38,""".@FoxNews: Opinion: Trump loses #GOPDebate but Rubio, Cruz and others triumph via @lizpeek http://t.co/q13VkuLP3r http://t.co/qoCnOIxEdN""","Negative",0.8,0,0.542
39,"https://t.co/pp6uzVFqQl #DonaldTrump ""I've given him plenty of money"" #TrumpWon #GOPDebate","Neutral",0,0,0
40,"""That's a broken system (that I have only ever benefitted from and still think is awesome)!"" @realDonaldTrump #GOPDebate","Neutral",0.333,0.333,0.611
41,"RT @ElliePTweet: Any one of these guys on his worst day is better than any democrat on their best day. ","Neutral",0.133,0.333,0.459
42,"RT @MonsterandBoy: I think the candidates are afraid of debating education with a Monster! ","Negative",-0.4,-1,0
43,"RT @shannonrwatts: Thanks to #NRA influence, Congress slashed CDC funding for gun violence research #GOPDebate #gunsense","Negative",-0.2,0,-0.67
44,"I would've watched the ","Neutral",0,0,0
45,"RT @goldietaylor: Huckabee. ","Neutral",0,0,0
46,"RT @KennedyNation: ","Positive",0,0,0
47,"People promote &amp; encourage an 8-year-old boy to be in a gay pride parade, but Trump can't say the word ""disgusting animal."" #GOPDebate #PC","Negative",0,0.333,-0.238
48,"Fifty-fifty% on ""the stupidity of the American voter"" .@RealBenCarson on @HillaryClinton at the #GOPDebate http://t.co/pkyjSglvFr","Positive",0,-1,-0.44
49,"GOP Candidates Throw Out Their Best Hillary Clinton Zingers http://t.co/nSS1U3sALh VIDEO ","Neutral",0.6,1,0.637
50,"Issue isnt guy w 16 followers. Issue is Trump agreed w it enough to RT.
#GOPDebate  https://t.co/RrLlLVATET","Neutral",0.2,1,0.273
51,"I want what Rand Paul is having ","Positive",0.2,0,0.077
52,"RT @jjosephwilliams: 16% of United States homes with TV sets tuned in to ","Positive",0.2,1,0.421
53,"@ScottWalker Russia &amp; China know more about Hillary Clinton's emails than our own Congress! Boom!
#RedNationRaising #GOPDebates","Negative",0,0,0
54,"RT @SalMasekela: Is Kasich aware that he's making sense? ","Negative",0,1,0
55,"RT @usedtobgop: I don't know about anyone else but think last night ","Negative",0,0,0
56,"I guess yesterday's ","Positive",0,0,0
57,"RT @MarkDavis: #Perry, #Fiorina clips on #IranDeal are better than most answers being given in this debate #GOPDebates","Positive",0.4,1,0.44
58,"""The purpose of the military is to kill people and break things"" @GovMikeHuckabee #GOPDebates  might be the quote of the night","Positive",-0.6,-1,-0.691
59,"RT @SFGate: Internet has some fun with the ","Neutral",0.8,1,0.511
60,"same old tiresome ","Negative",0,-1,0
61,"RT @ShannonBream: Generations will look back and think we're barbarians for murdering millions of unborn babies - says @MarcoRubio ","Neutral",-0.6,-1,-0.649
62,"I was a little disappointed in the #GOPDebate last night, was expecting President Camacho to make an appearance. http://t.co/tMJiL45Dxp","Neutral",-0.4,-1,-0.423
63,"""Miss the #GOPDebate? Here are the highlights, in 60 seconds--WATCH: http://t.co/yNNabR9pqQ http://t.co/WRRgMtvyOz""","Neutral",-0.4,0,-0.153
64,"RT @SupermanHotMale: Dear John Kasich, Beat your Republican friends with a gay tree branch : )  #GopDebates","Positive",0.4,1,0.691
65,"RT @ericstonestreet: Trump has Cam hands. ","Negative",0,0,0
66,"#GOPDebate ""We got nothing. And Iran gets everything they want."" @GovMikeHuckabee #MarshaMarshaMarsha","Negative",0.2,0,0.077
67,"I don't dislike Jeb as much as most ","Positive",-0.4,-1,0.292
68,"I actually agree with @AndreaTantaros on something. She said @realDonaldTrump didn't hurt himself in ","Positive",-0.1,0,0.646
69,"Republicans Debate Economics: Rubio Wins, Bush Falters, Huckabee Exaggerates http://t.co/mOlloaQhWQ #GOPdebate #knowmorenotless @GPNAPLang","Positive",0.2,-0.333,0.477
70,"Bet you'll never guess what gourmet delicacy we were snacking on during last night's ","Neutral",0,1,0
71,"hadiyah: Jen Bush looks like an Art Teacher for an inner city school and everyday his car gets vandalized.  ","Negative",0.4,1,0.361
72,"It's a wrestling match. ","Neutral",0,-1,0
73,"""When you find mush, you push""  We agree with Jack from @AandGShow about that being a great motto in life! (from last night's #GOPDebate)","Negative",0.4,1,0.784
74,"RT @Lrihendry: #TedCruz As President, I will always tell the truth, and do what I said I would do.  #GOPDebates","Positive",0,1,0.318
75,"Fox is over this. Turning this into breaking news. ","Negative",0,-1,0
76,"Jalisco Cartel (from Sinaloa Cartel) shot down a Cougar Helicopter of the mexican army with a missile launcher ","Neutral",0,0,0
77,"RT @BettyFckinWhite: So Donald Trump is Biff from Back to the Future 2? ","Negative",0,0,0
78,"RT @OhNoSheTwitnt: Can't wait to see which Lannister they kill off in the next episode of ","Neutral",-0.6,-1,-0.691
79,"","Neutral",0,0,0
80,"RT @JohnKasich: John Kasich knows how to balance budgets because he's actually done it. He will do it again. ","Positive",0,1,0
81,"RT @tperkins: TRUTH: The military is not a social experiment. -- @GovMikeHuckabee ","Positive",0,1,0.465
82,"2 drinks -#Trump said ""great, great."" #GOPDebates","Positive",0.6,1,0.848
83,"RT @operationrescue: Proaborts are afraid of Fiorina because she is articulate and smart and pro-life. A woman like that threatens them. ","Negative",-0.05,0,0.382
84,"RT @NYMag: Hillary Clinton spent ","Negative",0,0,0
85,"RT @Rik_FIair: X___X RT @kvxrdashian: when you leave the Republican Party and become a Democrat. ","Neutral",-0.2,0,0.361
86,"Jeb Bush: Im more prolife than others because of Schiavo. ","Neutral",0,0,0
87,"Drinking and watching the ","Neutral",0,0,0
88,"RT @OhioBATs: yes we need to listen to this ","Negative",0.2,0,0.402
89,"@NateSilver538 @mikeallen 
And this is from what? I agree with the top 2 but Carson, out bush out, Paul, out! #GOPDebates","Neutral",0.3,1,0.349
90,"Martha MacCallum gets credit for asking whether Christians have a religious liberty double-standard for Muslims ","Negative",0,1,0.718
